corp_name,corp_code,stock_code,liabilities_ratio,current_ratio,retention_rate,gross_profit_rate,net_profit_rate,ROE,sales_growth_rate,profit_change_rate,cashdivide,dividend,divide_count,VHF,updown,beta,financial_stability,profitability,volatility,growth,dividend_stability,final_label
보성파워텍,267881,6910,13.8836377148376,463.024668148711,239.214695456674,10.7305039120947,5.54444006434825,5.13099322132975,4.6246683185498805,-1.0,1.9,27.7,0,24.7747747747748,-12.23,0.76,C,B,B,B,B,CBBBB
솔브레인,1489648,357780,8.89975245553223,363.732062832958,22009.3046006166,23.0876973502783,17.7530613268212,16.5811598456098,-6.742230359847221,0.0034119565504975,0.67,11.88,3,37.6146788990826,39.51,0.56,A,A,A,C,C,AAACC
극동유화,105156,14530,101.748792701825,122.560335097123,1056.20168295314,5.51221506366317,1.54638449953065,8.90468756510736,5.85687477396896,0.136164755830278,4.4,45.6,3,26.2357414448669,19.56,0.04,C,B,A,C,A,CBACA
세코닉스,351630,53450,133.591480503489,104.345756617389,1137.93101130327,11.8079621792388,3.65851348467827,16.0561031830838,2.62092392990336,1.27018051900511,1.44,12.85,1,31.4814814814815,30.73,1.33,C,B,B,C,C,CBBCC
티로보틱스,867098,117730,289.750203134373,94.3794875120574,283.021181832662,8.78766370799858,-77.847771194981,-149.701390075912,15.7744257360671,-1.0,1.44,12.85,0,51.588502269289,204.17,1.79,C,B,B,C,C,CBBCC
지오엘리먼트,668965,311320,5.58042496505248,1592.06110709886,698.829281227407,31.4135514146683,12.5017019758663,4.41878989166997,-6.373387686122441,-0.251696713087011,1.44,12.85,0,34.1772151898734,21.05,0.82,A,B,A,C,C,ABACC
올리패스,1070149,244460,445.755266061001,61.1009015697018,-98.6262543200676,89.5050913391597,-244.808926934971,-519.281949368701,83.8086219727609,-1.0,1.44,12.85,0,33.248730964467,-87.29,0.6,C,B,B,C,C,CBBCC
하나기술,601191,299030,106.997302190369,112.703229034354,2180.27152249827,13.4845896644748,-3.58013480022126,-3.80674397893824,1.71931338278372,-1.0,1.44,12.85,0,27.2727272727273,27.17,1.7,C,B,B,B,C,CBBBC
한일현대시멘트,164672,6390,114.414491395594,150.242016447452,296.566867737615,21.697003803621502,6.9476214277073,8.96786863210536,8.32915606758883,-0.0460171502350549,4.41,12.85,3,39.6694214876033,-10.57,0.42,B,B,B,B,C,BBBBC
조광피혁,148939,4700,16.0544294851845,336.372259052858,794.909317566678,14.9098882350371,7.14704535822394,2.0808811422881,6.680121145936389,-0.0688404336563834,4.41,12.85,0,17.5824175824176,1.32,0.49,A,B,B,B,C,ABBBC
디알젬,966168,263690,57.9531974594021,203.582077834336,1392.08500137299,25.5138254191063,8.96640288905416,12.1671749549752,8.80560919757054,-0.0771833876967954,1.71,21.58,3,32.7868852459016,-1.79,0.19,A,B,B,B,C,ABBBC
팅크웨어,438036,84730,80.0075922111189,141.962453495608,3175.8721693762,22.626264540400506,-2.7857730712531,-3.16820071011845,-1.28218335309401,-1.0,1.71,21.58,0,23.8979118329466,27.01,1.41,C,B,B,C,B,CBBCB
레이크머티리얼즈,1255652,281740,139.212783188012,124.7180039829,1569.68623505162,33.4847745261914,20.5289433120928,21.9732626523067,12.944222514946398,0.101267813918677,1.71,21.58,0,53.2972972972973,297.03,2.1,C,A,B,C,B,CABCB
인텔리안테크,664181,189300,56.69374337559,314.994054666828,4928.333640824,31.7464562307884,1.46543056067771,1.43513532000309,29.0534894732915,-0.0084858382049293,0.1,19.0,3,26.1538461538462,10.13,0.81,A,B,A,C,C,ABACC
